업종명	업소명	소재지(도로명)	소재지(지번)	행정동명
일반음식점	은성식당	"대전광역시 중구 대둔산로 505, 1층 (유천동)"	대전광역시 중구 유천동 341-28 1층 	유천1동
일반음식점	깡스토랑	대전광역시 중구 목동로 23-8 (목동)	대전광역시 중구 목동 23-8 	목동
일반음식점	한양왕족발	"대전광역시 중구 선화서로52번길 6, 1층 (선화동)"	대전광역시 중구 선화동 367-11 (1층) 	은행선화동
일반음식점	운전사의집	대전광역시 중구 대전천서로 499 (은행동)	대전광역시 중구 은행동 110-1 	은행선화동
일반음식점	사나이창	"대전광역시 중구 계룡로874번길 5, 1층 (오류동)"	대전광역시 중구 오류동 151-5 1층 	오류동
일반음식점	키레이라멘	"대전광역시 중구 중앙로137번길 64, 1층 (선화동)"	대전광역시 중구 선화동 16-6 (1층) 	은행선화동
일반음식점	계동치킨부사석교점	대전광역시 중구 보문로 73-1 (부사동)	대전광역시 중구 부사동 147-12 	부사동
일반음식점	나비식당	"대전광역시 중구 보문로 69, 1층 (부사동)"	대전광역시 중구 부사동 147-7 1층 	부사동
일반음식점	페리카나치킨	"대전광역시 중구 대전천서로 503 (은행동,,4,2-1(1층))"	"대전광역시 중구 은행동 1-1 ,4,2-1(1층) "	은행선화동
일반음식점	골목고기촌	대전광역시 중구 보문로68번길 3 (부사동)	대전광역시 중구 부사동 130-12 	부사동
일반음식점	미미램	대전광역시 중구 보문로262번길 45 (대흥동)	대전광역시 중구 대흥동 207-6 	대흥동
일반음식점	동키치킨앤피자	대전광역시 중구 선화서로 2 (대흥동)	대전광역시 중구 대흥동 502-15 	대흥동
일반음식점	미소칼국수	대전광역시 중구 유천로132번길 27 (태평동)	대전광역시 중구 태평동 329-6 	태평1동
일반음식점	새로남기사식당	대전광역시 중구 오류로 114-1 (오류동)	대전광역시 중구 오류동 191-14 	오류동
일반음식점	강남교자칼국수대전대흥점	"대전광역시 중구 중교로 41, 1층 (대흥동)"	대전광역시 중구 대흥동 459-3 1층 	대흥동
일반음식점	예성칼국수	대전광역시 중구 오류로 109 (오류동)	대전광역시 중구 오류동 190-104 	오류동
일반음식점	부엉이산장대전대흥점	"대전광역시 중구 중앙로122번길 34, 2층 (대흥동)"	대전광역시 중구 대흥동 477-1 2층 	대흥동
일반음식점	깃발	대전광역시 중구 계백로 1697-7 (오류동)	대전광역시 중구 오류동 164-4 	오류동
일반음식점	육첩반상대전은행동점	"대전광역시 중구 중앙로164번길 26, 1층 (은행동)"	대전광역시 중구 은행동 33-1 1층 	은행선화동
일반음식점	삼성식당	"대전광역시 중구 계룡로 860-13, 1층 (오류동)"	대전광역시 중구 오류동 149-6 1층 	오류동
일반음식점	바이라니	"대전광역시 중구 중앙로156번길 42, 1층 (은행동)"	대전광역시 중구 은행동 164-1 1층 	은행선화동
일반음식점	연아식당	대전광역시 중구 유천로 57-9 (유천동)	대전광역시 중구 유천동 212-2 	유천1동
일반음식점	동방식당	대전광역시 중구 대종로517번길 47 (선화동)	대전광역시 중구 선화동 232-2 	은행선화동
일반음식점	킹왕짱	대전광역시 중구 인창로 21 (문창동)	대전광역시 중구 문창동 24-8 	문창동
일반음식점	대패명가	대전광역시 중구 대흥로 12 (문화동)	대전광역시 중구 문화동 1-133 	문화1동
일반음식점	와와돈	"대전광역시 중구 대종로488번길 25, 2층 (은행동)"	대전광역시 중구 은행동 48-20 2층 	은행선화동
일반음식점	홍보장	대전광역시 중구 목중로 18 (중촌동)	대전광역시 중구 중촌동 411-1 	중촌동
일반음식점	부성비어비어	대전광역시 중구 선화로 126-5 (선화동)	대전광역시 중구 선화동 242-2 	은행선화동
일반음식점	진부령통황태탕	대전광역시 중구 계룡로 909 (문화동)	대전광역시 중구 문화동 1-213 	문화1동
일반음식점	부어치킨앤푸드	"대전광역시 중구 선화로 118, 1층 (선화동)"	대전광역시 중구 선화동 280-1 1층 	은행선화동
일반음식점	태화원	대전광역시 중구 중앙로112번길 43 (대흥동)	대전광역시 중구 대흥동 463 	대흥동
일반음식점	대전은행동맛집별리달리돈까스	"대전광역시 중구 중앙로156번길 28, 2층 (은행동)"	대전광역시 중구 은행동 144-1 2층 	은행선화동
일반음식점	해피하우스	대전광역시 중구 충무로 147 (부사동)	대전광역시 중구 부사동 84-36 	부사동
일반음식점	모아식당	대전광역시 중구 보문로 307 (선화동)	대전광역시 중구 선화동 361-1 	은행선화동
일반음식점	삼성관식당	"대전광역시 중구 계룡로 852, 상가동 2층 201호 (오류동, 삼성아파트)"	대전광역시 중구 오류동 175-1 삼성아파트 상가동 201호	오류동
일반음식점	선화동소머리해장국	대전광역시 중구 선화로 128 (선화동)	대전광역시 중구 선화동 242-2 	은행선화동
일반음식점	정글	대전광역시 중구 중앙로16번길 31 (문화동)	대전광역시 중구 문화동 1-189 	문화1동
일반음식점	아라비아식당	"대전광역시 중구 보문로254번길 53 (대흥동,(1층))"	대전광역시 중구 대흥동 246-10 (1층) 	대흥동
일반음식점	양지식당	"대전광역시 중구 대흥로 69, 1층 (대흥동)"	대전광역시 중구 대흥동 508-14 1층 	대흥동
일반음식점	팔각도대전대흥점	대전광역시 중구 중교로 51 (대흥동)	대전광역시 중구 대흥동 250-1 (1층) 	대흥동
일반음식점	황금식당	"대전광역시 중구 충무로 122-1, 1층 (대사동)"	대전광역시 중구 대사동 69-46 1층 	대사동
